id	question	equation
571	석진이에게 22명의 고객이 있습니다. 그중 14명이 나갔고, 나머지 고객은 각 테이블에 4명씩 앉아있습니다. 몇 개의 테이블이 있었습니까?	X=(22-14)/4
595	A6+1B=47에서 A에 해당하는 숫자를 쓰시오.	print ( 4 - 1 )
2159	한 상자에는 토마토이 12개씩 들어있습니다. 61개의 상자 안에 있는 토마토은 모두 몇 개일까요?	12 * 61
920	한 변이 223cm인 정삼각형의 세 변의 길이의 합은 몇 cm 입니까?	223 * 3
1217	유나는 7.5%와 6%의 이자를 지불하는 두 계좌에 총 12,000달러를 저축했습니다. 첫해의 수익이 840달러라면 7.5%의 이자를 주는 계좌에 얼마를 저축했습니까?	7.5*0.01*X+6*0.01*Y=840, X+Y=12000
4296	키가 작은 사람부터 순서대로 68명이 한 줄로 서 있습니다. 정국가 앞에서부터 55번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 정국는 앞에서부터 몇 번째에 서게 됩니까?	68 - 55 + 1
3713	유나 , 태형 , 민영의 수학 점수는 각각 2점, 47점, 99점입니다. 이 셋을 제외한 학급의 수학 점수 평균은 25점입니다. 유나네 학급 인원수가 94명일 때, 학급 수학 평균 점수는 몇 점입니까	( ( 94 - 3 ) * 25 + 2 + 47 + 99 ) / 94
589	남성의 나이는 10년 전의 125%이지만 10년 후의 나이는 83 X 1 / 3%입니다. 그의 현재 나이는 무엇입니까?	10 / ( 125 / 100 - 1 ) + 10
525	민영이는 40문제의 숙제가 있었습니다. 그녀는 26개의 문제를 풀었지만 여전히 2페이지의 문제가 있었습니다. 각 페이지에 문제가 동일한 경우 각 페이지에 몇 가지 문제가 있습니까?	X=(40-26)/2
1091	과일 농장은 10개의 상자에 오렌지를 넣습니다. 2,650개의 오렌지를 담았다면 얼마나 많은 상자를 사용했습니까?	X=2650/10
43	10에서 50 사이의 숫자에서 짝수의 개수를 구하시오.	( 50 - 10 ) / 2 - 1
556	A4+3B=6C'에서 A가 될 수 있는 수들의 합을 구하시오.	sum ( A for A in range ( 10 ) if len ( [ B for B in range ( 10 ) if len ( [ C for C in range ( 10 ) if ( ( A * 10 ) + 4 ) + ( ( 3 * 10 ) + B ) == ( ( 6 * 10 ) + C ) ] ) != 0 ] ) != 0 )
294	(가)학부에서는 250명의 2학년 학생들이 수치 방법을 배우고, 423명의 2학년 학생들이 항공 차량의 자동 제어를 공부하고 134명의 2학년 학생들이 둘 다 공부합니다. 2학년 학생이 전체의 약 80% 인 경우 교수진에는 몇 명의 학생이 있습니까?	250 + 423
470	요리사는 13개의 감자를 요리해야 합니다. 그는 이미 5개의 감자를 요리했습니다. 각 감자를 요리하는 데 6 분이 소요되면 남은 감자들을 요리하는 데 몇 분이 걸립니까?	X=6*(13-5)
45	학교 (다)는 33개의 빨간 사과와 초록색 사과 23개를 주문했습니다. 그러나 21명의 학생들만이 사과를 먹었다면 (다)는 얼마나 많은 사과가 남았습니까?	X=33+23-21
2587	350에서 688까지의 수가 있을 때, 351보다 크고, 353보다 작은 수는 얼마입니까?	( 351 + 353 ) / 2
1034	어떤 수에서 54을 더해야 하는데 잘못하여 152을 더한 결과가 842이 나왔습니다. 바르게 계산한 결과를 구하시오.	842 - 152 + 54
4505	4개의 숫자 8, 9, 4, 7를 한 번씩만 사용하여 네 자리수를 만들려고 합니다. 만들 수 있는 네 자리 수는 모두 몇 개입니까?	math.factorial(4)
443	A 주머니는 초콜릿 2개가 들어있으며 B 주머니는 4개, C 주머니는 7개가 들어있습니다. 바구니에 12개 초콜릿이 같은 주머니로만으로 채워 빈 공간 없이 들어가야 할때 널 수 있는 주머니의 종류는?	count = 0 \nfor i in [ 2 , 4 , 7 ] : \n    if ( 12 % i ) == 0 : \n        count += 1 \nprint(count)
909	태형이는 11마리의 고양이를 키우고 있습니다. 고양이가 43마리가 되려면 몇 마리의 고양이를 더 키워야 합니까?	X=43-11
3368	2 개의 수 3, 15 로 나누어 떨어질 수 있는 세 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(100, 1000) if arr % 3 == 0 and arr % 15 == 0 ] )
2467	133에서 248까지의 수가 있을 때, 191보다 크고, 193보다 작은 수는 얼마입니까?	( 191 + 193 ) / 2
730	영희의 학교에서 1반, 2반, 3반, 4반이 줄달리기 시합을 합니다. 1반이 승점을 5점, 2반이 승점을 10점, 3반이 승점을 20점, 4반이 승점을 15점 받았습니다. 최종 승리팀은 어느 반인가요?	max ( ( 5 , 1 ) , ( 10 , 2 ) , ( 20 , 3 ) , ( 15 , 4 ) ) [ 1 ]
387	기계 (가)는 3시간 안에 6000개의 봉투를 처리 할 수 ​​있습니다. 기계 (나)와 (다)는 함께 작동하지만 독립적으로 2.5시간 내에 동일한 수의 봉투를 처리 할 수 ​​있습니다. 기계 (가)와 (다)가 함께 작동하지만 독립적으로 1시간 동안 3000개의 봉투를 처리한다면, 기계 (나)는 9800개의 봉투를 처리하는 데 몇 시간이 걸릴까요?	9800 / ( 6000 / 2.5 - ( 3000 / 1 - 6000 / 3 ) ) 
4101	달리기 시합에서 석진는 46 등을 했고, 정국는 48 등을 했습니다. 지민는 정국보다 잘했지만 석진보다는 못했습니다. 지민의 등수는 몇 등입니까?	 ( 46 + 48 ) / 2
1459	2개의 정수의 합은 30입니다. 큰 정수의 2배는 작은 정수의 5배보다 10 작습니다. 큰 수를 찾으십시오.	2*X=(5*Y)-10, X+Y=30
2404	641 보다 어떤 수만큼 큰 수는 808입니다. 어떤 수보다 355 큰 수는 얼마입니까?	808 - 641 + 355
1395	어떤 수에서 749을 나누었더니 409가 되었습니다. 어떤 수에서 916를 빼면 얼마가 되는지 구하시오.	409 * 749 - 916
3369	2 개의 수 13, 9 로 나누어 떨어질 수 있는 세 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(100, 1000) if arr % 13 == 0 and arr % 9 == 0 ] )
683	트럭에 토마토 30박스가 있습니다. 어머니는 토마토 26박스를 팔았습니다. 트럭에 남은 토마토는 몇 박스입니까?	X=30-26
2421	449 보다 어떤 수만큼 작은 수는 568입니다. 어떤 수보다 501 작은 수는 얼마입니까?	568 - 449 - 501
502	35+26=AB이다. A*B=?	( 3 + 2 + 1 ) * ( 5 + 6 - 10 )
424	정국은 초콜릿 사탕이 들어있는 상자 7개를 샀고 그의 동생에게 3개의 상자를 주었습니다. 각 상자에 4개의 사탕이 있다면, 그는 몇 개의 사탕을 가지고 있습니까?	X=4*(7-3)
467	어떤 소수의 소수점을 없애면 원래의 수보다 100배가 됩니다. 3과 5 사이에 이 조건을 만족하는 소수의 개수는?	print ( 9 * 9 * ( 5 - 3 ) )
792	어떤 소수의 소수점을 왼쪽으로 2 자리 옮기면 원래보다 24.35 만큼 작아집니다. 원래의 소수를 구하시오.	24.35 * 100 / 99
338	정국이가 오락실에서 노는 동안 (가)에서 3개의 티켓을 얻었고, (나)에서 5개의 티켓을 얻었습니다. 사탕 한개을 사는데 티켓 4개가 필요하다고 한다면 그는 몇 개의 사탕을 살 수 있습니까?	X=(3+5)/4
78	녹차와 커피의 파운드당 비용은 6 월에도 동일했습니다. 7 월에 커피 가격은 100 % 올랐고 녹차 가격은 90 % 하락했다. 만약 7 월에 같은 양의 녹차와 커피가 들어있는 혼합물이 3 파운드에 3.15 원라면 7 월에 녹차 1 파운드가 얼마였습니까?	 ( ( 100 + 100 ) / 100 * 3 / 2 + 3 / 2 * ( 100 - 90 ) / 100 ) / 3.15 * ( 100 - 90 ) / 100
547	A를 7로 나누면 나머지는 C이고 몫은 B가 됩니다. A, B, C는 자연수입니다. 'B*2=C+1'일 때, 나누어지는 수 A 중 가장 작은 수를 구하시오.	min ( A for A in range ( 1 , 7 * ( ( 7 + 1 ) // 2 ) ) if ( A // 7 ) * 2 == ( A % 7 ) + 1 )
742	정확히 88로 나눌 수 있는 가장 큰 4자리 숫자는 무엇입니까?	math.floor ( 10 ** 4 / 88 ) * 88
664	냉장고에는 96개의 배가 있습니다. 은지는 배 45개를 먹었습니다. 냉장고에 남은 배는 몇 개입니까?	X=96-45
1991	3개의 수 59.82, 88.41, 50.42이 있습니다. 이 중에서 22.94보다 작은 수는 모두 몇 개 입니까?	len ( [ val for val in [ 59.82, 88.41, 50.42 ] if val < 22.94 ] ) 
796	어떤 소수의 소수점을 오른쪽으로 4 자리 옮기면 원래보다 418.36 만큼 커집니다. 원래의 소수를 구하시오.	418.36 * 10000 / 1
2373	239 보다 어떤 수만큼 큰 수는 395입니다. 어떤 수보다 435 작은 수는 얼마입니까?	395 - 239 - 435
4564	3개의 숫자 8, 4, 5를 한 번씩만 사용하여 세 자리수를 만들려고 합니다. 만들 수 있는 세 자리 수는 모두 몇 개입니까?	math.factorial(3)
2635	132에서 380까지의 수가 있을 때, 232보다 크고, 234보다 작은 수는 얼마입니까?	( 232 + 234 ) / 2
4464	1개의 숫자 3를 한 번씩만 사용하여 한 자리수를 만들려고 합니다. 만들 수 있는 한 자리 수는 모두 몇 개입니까?	math.factorial(1)
4210	달리기 시합에서 지민는 11 등을 했고, 유나는 13 등을 했습니다. 호석는 유나보다 잘했지만 지민보다는 못했습니다. 호석의 등수는 몇 등입니까?	 ( 11 + 13 ) / 2
3501	3 개의 수 13, 11, 12 로 나누어 떨어질 수 있는 세 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(100, 1000) if arr % 13 == 0 and arr % 11 == 0 and arr % 12 == 0] )
3309	2 개의 수 2, 7 로 나누어 떨어질 수 있는 세 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(100, 1000) if arr % 2 == 0 and arr % 7 == 0 ] )
4561	5개의 숫자 2, 3, 5, 8, 9를 한 번씩만 사용하여 다섯 자리수를 만들려고 합니다. 만들 수 있는 다섯 자리 수는 모두 몇 개입니까?	math.factorial(5)
3020	석진와 동생의 나이를 합하면 82이고, 두 사람의 나이 차는 68입니다. 석진의 동생은 몇 살일까요?	( 82 - 68 ) / 2
715	석진이는 병뚜껑이 26개 있습니다. 석진이는 병뚜껑 3개를 더 구입합니다. 석진이는 얼마나 많은 병뚜껑을 가지고 있습니까?	X=26+3
2981	유나와 동생의 나이를 합하면 71이고, 두 사람의 나이 차는 51입니다. 유나의 동생은 몇 살일까요?	( 71 - 51 ) / 2
2697	주어진 숫자가 61, 53, 73, 40, 64, 86, 82, 76, 85, 14, 46, 26, 75, 97, 37 일 경우 76 보다 크고 85 보다 작은 수 중 가장 큰 수는 무엇입니까?	max ( sorted ( [ i for i in [ 61, 53, 73, 40, 64, 86, 82, 76, 85, 14, 46, 26, 75, 97, 37 ] if i > 76 and i < 85 ] ) )
393	AB * AB + CD * CD = ABCD를 만족하는 네 자리 자연수 ABCD는 모두 몇 개인가?	sum ( 1 for _ in filter ( lambda x : ( x // 100 ) ** 2 + ( x % 100 ) ** 2 == x , range ( 1000 , 10000 ) ) )
373	78명이 하루에 5시간씩 일하면서 12일 만에 도로를 수리 할 수 ​​있습니다. 하루 6시간 일하는 30명이 며칠 안에 작업을 완료 할 것인가?	78 * 12 * 5 / ( 30 * 6 ) 
363	네자리의 수 중에서 첫째 자리와 넷째 자리의 숫자가 1인 가장 작은 수는 얼마입니까?	min ( [ 1000 + 100 * i + 10 * j + 1 for i in range ( 10 ) for j in range ( 10 ) ] )
4652	5개의 숫자 1, 2, 4, 7, 9를 한 번씩만 사용하여 다섯 자리수를 만들려고 합니다. 만들 수 있는 다섯 자리 수는 모두 몇 개입니까?	math.factorial(5)
372	윤기는 음식점 직원들이 점심시간에 쓰인 쟁반을 옮기는데 도움을 주고 있었습니다. 그는 한 번의 이동에 5개의 쟁반을 옮길 수 있었습니다. 그가 한 테이블에서 10개의 쟁반과 다른 테이블에서 15개의 쟁반을 가져와야 한다면, 그는 몇 번을 이동해야 합니까?	X=(10+15)/5
2725	주어진 숫자가 58, 1, 67, 37, 72, 39, 78, 29, 78, 43, 26, 24, 18, 97, 96, 66 일 경우 24 보다 크고 39 보다 작은 수 중 가장 작은 수는 무엇입니까?	min ( sorted ( [ i for i in [ 58, 1, 67, 37, 72, 39, 78, 29, 78, 43, 26, 24, 18, 97, 96, 66 ] if i > 24 and i < 39 ] ) )
472	상자에 있는 각 초콜릿 바는 2원입니다. 상자에 총 13개의 초콜릿 바가 있고 유나가 4개를 제외한 모든 초콜릿 바를 판 경우 그녀는 몇 원을 얻습니까?	X=2*(13-4)
1391	휴대 전화 회사는 두 가지 문자 메시지 요금제를 제공합니다. (가) 요금제는 문자 메시지 당 0.25달러, 기본요금은 9달러입니다. (나) 요금제는 문자 메시지 당 0.4달러이며 기본요금은 없습니다. 두 요금제에 대해 같은 금액을 지불하려면 문자 메시지를 얼마큼 보내야 하나요?	X=9/(0.4-0.25)
1220	남준이는 12권의 책을 샀습니다. 일부는 하나에 6.5달러이고 나머지는 하나에 7.5달러입니다. 82달러를 썼다면 7.5달러짜리 책은 몇 권 샀습니까?	6.5*X+7.5*Y=82, X+Y=12
316	특정 마을에서는 한 가구에 한 달에 20리터의 물이 필요합니다. 마을에 10가구가 있다면 2000리터의 물이 얼마나 오래 지속 될까요?	2000 / ( 20 * 10 ) 
1955	5개의 수 78.99, 89.0, 25.17, 20.88, 84.57이 있습니다. 이 중에서 57.06보다 큰 수는 모두 몇 개 입니까?	len ( [ val for val in [ 78.99, 89.0, 25.17, 20.88, 84.57 ] if val > 57.06 ] ) 
2051	4개의 수 54.45, 60.0, 18.75, 6.98이 있습니다. 이 중에서 43.28보다 작은 수는 모두 몇 개 입니까?	len ( [ val for val in [ 54.45, 60.0, 18.75, 6.98 ] if val < 43.28 ] ) 
1112	어떤 수에서 890을 더해야 하는데 잘못하여 490을 뺀 결과가 573이 나왔습니다. 바르게 계산한 결과를 구하시오.	573 + 490 + 890
2717	주어진 숫자가 74, 39, 81, 24, 80, 71, 92, 52, 10 일 경우 24 보다 크고 92 보다 작은 수 중 가장 큰 수는 무엇입니까?	max ( sorted ( [ i for i in [ 74, 39, 81, 24, 80, 71, 92, 52, 10 ] if i > 24 and i < 92 ] ) )
2525	19에서 436까지의 수가 있을 때, 345보다 크고, 347보다 작은 수는 얼마입니까?	( 345 + 347 ) / 2
1417	두 숫자의 합은 73입니다. 두 번째 숫자는 첫 번째 숫자의 5 배보다 7 더 많습니다. 두 번째 숫자는 무엇입니까?	X+Y=73, Y=(5*X)+7
863	X를 Y로 나누었을 때 나머지는 8이고 제수는 몫의 3 배이며 나머지의 세 배에 3을 더하여 구합니다. X은 무엇인가요?	 ( 8 * 3 + 3 ) * ( 8 * 3 + 3 ) / 3 + 8
1272	어떤 수에서 601을 더했더니 119가 되었습니다. 어떤 수에서 588를 더하면 얼마가 되는지 구하시오.	119 - 601 + 588
2895	남진와 동생의 나이를 합하면 84이고, 두 사람의 나이 차는 81입니다. 남진의 동생은 몇 살일까요?	( 84 - 81 ) / 2
398	4개의 수 74, 35, 36, 48 중 가장 작은 수는 무엇인가?	min ( 74, 35, 36, 48 )
378	윤기가 오락실에서 노는 동안 (가)에서 2개의 티켓을 얻었고, (나)에서 13개의 티켓을 얻었습니다. 사탕 한개을 사는데 티켓 3개가 필요하다고 한다면 그는 몇 개의 사탕을 살 수 있습니까?	X=(2+13)/3
790	축구공은 농구공보다 큽니다. 농구공은 야구공보다 큽니다. 어떤 공이 가장 큽니까?	"A = 0\nB = 0\nC = 0\nB = C + 1\nA = B + 1\nif max ( A , B , C ) == A : print ( ""축구공"" )\nelif max ( A , B , C ) == B : print ( ""농구공"" )\nelif max ( A , B , C ) == C : print ( ""야구공"" )"
692	정국이는 일을 어제보다 2시간을 덜해 5시간을 일하였으며 일당 6250원을 받았다. 정국이 어제 받은 일급은 몇 원입니까?	( 6250 / 5 ) * 7
231	1 부터 50까지의 숫자 중에서 3으로 나누어 떨어지면서 가장 큰 수는?	print ( 50 // 3 * 3 )
1115	어떤 수에서 265을 더해야 하는데 잘못하여 667을 더한 결과가 339이 나왔습니다. 바르게 계산한 결과를 구하시오.	339 - 667 + 265
3697	정국 , 민영 , 은지의 수학 점수는 각각 68점, 51점, 25점입니다. 이 셋을 제외한 학급의 수학 점수 평균은 52점입니다. 은지네 학급 인원수가 18명일 때, 학급 수학 평균 점수는 몇 점입니까	( ( 18 - 3 ) * 52 + 68 + 51 + 25 ) / 18
536	1개의 수 84가 있습니다. 그 중에서 가장 큰 수와 가장 작은 수의 차는 얼마입니까?	max ( [ 84 ] ) - min ( [ 84 ] ) 
655	선거에서 60%의 표를 얻은 후보는 1300표의 과반수로 선출됩니다. 투표 된 총 투표 수는 얼마입니까?	1300 / ( ( 60 - ( 100 - 60 ) ) / 100 ) 
396	사과, 감, 귤, 포도 중에서 2가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?	len ( list ( itertools.combinations ( [ '사과', '감', '귤', '포도' ] , 2 ) ) )
2122	한 상자에는 양파이 286개씩 들어있습니다. 154개의 상자 안에 있는 양파은 모두 몇 개일까요?	286 * 154
2070	한 상자에는 참외이 29개씩 들어있습니다. 289개의 상자 안에 있는 참외은 모두 몇 개일까요?	29 * 289
3542	3 개의 수 7, 5, 15 로 나누어 떨어질 수 있는 세 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(100, 1000) if arr % 7 == 0 and arr % 5 == 0 and arr % 15 == 0] )
689	소수를 나타내는 숫자로 끝나는 3자리 숫자는 몇 개입니까?	100 * 3 + 100
938	은지는 반지름이 16cm인 종이를 반으로 접고 또 한번 반으로 접었습니다. 종이접기가 끝난 후 종이의 면적은 몇 cm^2 입니까?	( ( 16 * 2 ) / 2 / 2 ) * ( ( 16 * 2 ) / 2 / 2 )
279	5개의 필터가 포함 된 카메라 렌즈 필터 키트는  87.50원에 판매됩니다. 필터를 개별적으로 구입하는 경우, 그 중 2개는 개당 16.45원, 2개는 개당 14.05원, 1개는 19.50원입니다. 키트 구매로 절약되는 금액은 개별 구매 한 5개의 필터 총 가격의 몇 %입니까?	 ( 87.50 - ( 19.50 + 2 * 16.45 + 2 * 14.05 ) ) * 100 / 87.50
2194	한 상자에는 과일이 91개씩 들어있습니다. 128개의 상자 안에 있는 과일은 모두 몇 개일까요?	91 * 128
4344	키가 작은 사람부터 순서대로 97명이 한 줄로 서 있습니다. 유정가 앞에서부터 1번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 유정는 앞에서부터 몇 번째에 서게 됩니까?	97 - 1 + 1
899	길이가 1m 30cm인 철사로 긴 변이 8cm, 짧은 변이 3cm인 직사각형을 최대한 만든 후 남는 철사의 길이를 구하시오.	( 1 * 100 + 30 ) - int ( ( 1 * 100 + 30 ) / ( ( 8 + 3 ) * 2 ) ) * 22
1948	4개의 수 93.65, 97.9, 43.2, 54.88이 있습니다. 이 중에서 37.79보다 큰 수는 모두 몇 개 입니까?	len ( [ val for val in [ 93.65, 97.9, 43.2, 54.88 ] if val > 37.79 ] ) 
88	수학 연산책에 있는 문제를 남준은 매일 133문제씩 3일 동안 풀었고, 유정은 매일 242문제씩 2일동안 풀었습니다. 두 사람중 문제를 더 많이 푼 사람이 푼 문제의 개수는?	242 * 2
12	휴가 중에 태형이는 동물원에서 24장의 사진을 찍었고, 박물관에서 12장의 사진을 찍었습니다. 그가 나중에 14장의 사진을 삭제 한 경우, 그가 휴가 중에 찍었던 사진은 몇 장이 남아있습니까?	X=24+12-14
3223	(차) 컵에 물을 가득 넣어 (라) 컵에 부었더니 물이 가득 차지 않았습니다. 어느 컵에 물이 더 많이 들어갈까요?	(라)
902	서로 다른 두 자연수 A , B가 있습니다. A + B = 48, B = 6 * A 일 때, A 를 구하시오.	48 / ( 1 + 6 )
1961	4개의 수 20.15, 69.59, 33.47, 35.17이 있습니다. 이 중에서 20.52보다 큰 수는 모두 몇 개 입니까?	len ( [ val for val in [ 20.15, 69.59, 33.47, 35.17 ] if val > 20.52 ] ) 
2543	142에서 344까지의 수가 있을 때, 152보다 크고, 154보다 작은 수는 얼마입니까?	( 152 + 154 ) / 2
1909	5개의 수 31.66, 65.4, 99.77, 36.87, 65.69이 있습니다. 이 중에서 11.06보다 작은 수는 모두 몇 개 입니까?	len ( [ val for val in [ 31.66, 65.4, 99.77, 36.87, 65.69 ] if val < 11.06 ] ) 
908	직각삼각형이 있습니다. 직각을 이루는 두 선분의 길이가 각각 5cm, 12cm일 때, 빗변의 길이는 얼마입니까?	math.sqrt ( 5 ** 2 + 12 ** 2 )
1335	호석이는 커피 가게에서 70달러의 기프트 카드를 받았습니다. 호석이는 1kg에 8.58달러의 커피를 사는데 이 카드를 사용했습니다. 커피를 구입한 후 카드에 35.68달러가 남았습니다. 호석이가 산 커피는 몇 kg입니까?	X=(70-35.68)/8.58
1684	지민이는 2와 3를 모았습니다. 은지이는 7과 3을 모았습니다. 누가 모은 수가 더 큽니까?	'지민' if 2+3 > 7+3 else '은지'
3578	3 개의 수 5, 15, 1 로 나누어 떨어질 수 있는 두 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(10, 100) if arr % 5 == 0 and arr % 15 == 0 and arr % 1 == 0] )
206	토마토, 오이, 상추, 고추, 마늘 중에서 2가지의 채소을 골라서 사는 경우는 모두 몇 가지입니까?	len ( list ( itertools.combinations ( [ '토마토', '오이', '상추', '고추', '마늘' ] , 2 ) ) )
697	민영이는 귤 92개가 있습니다. 비둘기가 귤 2개를 먹었습니다. 민영이는 몇 개의 귤을 가지고 있습니까?	X=92-2
2294	507 보다 어떤 수만큼 작은 수는 955입니다. 어떤 수보다 896 큰 수는 얼마입니까?	955 - 507 + 896
242	총 10개의 과일이 있습니다. 영희는 4명의 학생들에게 과일을 나눠주려 합니다. 학생들이 모두 적어도 과일 하나씩을 받을 때, 영희가 과일을 나누어주는 경우는 몇 가지인가요?	len ( list ( itertools.combinations_with_replacement ( range ( 4 ) , 6 ) ) )
239	사과, 귤, 포도, 수박, 참외 중에서 2가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?	len ( list ( itertools.combinations ( [ '사과', '귤', '포도', '수박', '참외' ] , 2 ) ) )
4039	62명의 학생들이 한 줄로 줄을 섰습니다. 윤기의 앞에 58명의 학생들이 서 있습니다. 윤기의 뒤에 서 있는 학생은 몇 명입니까?	62 - ( 58 + 1 )
558	9개의 수 63, 68, 55, 8, 21, 49, 63, 5, 96가 있습니다. 그 중에서 가장 큰 수와 가장 작은 수의 차는 얼마입니까?	max ( [ 63 , 68 , 55 , 8 , 21 , 49 , 63 , 5 , 96 ] ) - min ( [ 63 , 68 , 55 , 8 , 21 , 49 , 63 , 5 , 96 ] ) 
1228	2대의 자동차가 600km 떨어진 두 지점에서 시작하여 서로를 향해 달립니다. 동쪽에서 오는 자동차는 서쪽에서 오는 자동차보다 10km 더 빠르게 이동합니다. 5시간 후에 만나면 동쪽에서 오는 자동차의 속도는 얼마입니까?	(5*X)+(5*Y)=600, X=10+Y
1253	어떤 수에서 397을 더했더니 159가 되었습니다. 어떤 수에서 190를 빼면 얼마가 되는지 구하시오.	159 - 397 - 190
4396	키가 작은 사람부터 순서대로 85명이 한 줄로 서 있습니다. 윤기가 앞에서부터 8번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 윤기는 앞에서부터 몇 번째에 서게 됩니까?	85 - 8 + 1
818	A가 1에서 38까지의 정수의 곱이면 3^B가 A의 계수 인 가장 큰 정수 B는 얼마입니까?	3 * 4 + 3
3011	남진와 동생의 나이를 합하면 18이고, 두 사람의 나이 차는 16입니다. 남진의 동생은 몇 살일까요?	( 18 - 16 ) / 2
171	사과 오른쪽에는 바나나가 있고 바나나 오른쪽에는 딸기가 있습니다. 가장 왼쪽에 있는 과일은 어떤 과일인가요?	사과
287	유나는 그녀의 책을 세고 있었습니다. 각 선반이 정확히 6권의 책을 가지고 있는지 확인했다. 그녀가 수수께끼 책의 3개의 선반과 그림책의 2개의 선반을 가지고 있다면, 몇 권의 책을 가지고 있었습니까?	X=6*(3+2)
393	남준은 10일 안에 작업을 할 수 있고 석진은 20일 안에 작업을 할 수 있습니다. 그들은 함께 일을 시작했지만 일이 끝나기 5일 전에는 떠났다. 작업이 완료 되었습니까?	 ( 1 - ( 5 * 1 / 10 + 5 * 1 / 20 ) ) / ( 1 / 20 ) + 5
59	애완동물 가게에는 41마리의 검은색 고양이와 28마리의 하얀색 고양이가 있었습니다. 판매 중에 15마리의 고양이를 팔았습니다. 얼마나 많은 고양이가 남았습니까?	X=41+28-15
848	서로 다른 두 자연수 A , B가 있습니다. A + B = 83, B = 6 * A 일 때, A 를 구하시오.	83 / ( 1 + 6 )
2178	한 상자에는 채소이 65개씩 들어있습니다. 280개의 상자 안에 있는 채소은 모두 몇 개일까요?	65 * 280
2012	5개의 수 41.69, 65.08, 83.32, 85.91, 72.84이 있습니다. 이 중에서 16.87보다 큰 수는 모두 몇 개 입니까?	len ( [ val for val in [ 41.69, 65.08, 83.32, 85.91, 72.84 ] if val > 16.87 ] ) 
4072	달리기 시합에서 태형는 13 등을 했고, 윤기는 15 등을 했습니다. 유정는 윤기보다 잘했지만 태형보다는 못했습니다. 유정의 등수는 몇 등입니까?	 ( 13 + 15 ) / 2
277	서로 다른 수 다섯 개를 원형으로 나열하는 경우의 수는 모두 몇 가지인가?	math.perm ( 5 - 1 )
243	기계 (가)는 특정 작업을 완료하는 데 100시간이 걸리며 오전 7시에 해당 작업을 시작합니다. 두 시간 동안 혼자 작업 한 후, 기계 (가)는 기계 (나)와 함께 작동하고 오후 12시에 작업을 완료합니다. 기계 (나)가 전체 작업을 단독으로 수행했다면 작업을 완료하는 데 얼마나 걸렸을까요?	100 / 10 * 12
1117	어떤 수에서 23을 더해야 하는데 잘못하여 460을 더한 결과가 336이 나왔습니다. 바르게 계산한 결과를 구하시오.	336 - 460 + 23
98	상자 안에 68개의 공이 있습니다. 은지이가 17개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?	68 + 17
1450	45% 소금물 60리터를 만들려고 40% 소금물과 55% 소금물을 섞을 것입니다. 40% 소금물을 몇 리터 사용해야 합니까?	((40*0.01)*X)+((55*0.01)*Y)=(45*0.01)*60, X+Y=60
247	항아리에는 파란색, 빨간색, 녹색 및 노란색과 같은 다양한 색상의 공이 있습니다. 파란 공을 뽑을 확률은 1/8입니다. 빨간 공을 뽑을 확률은 2/5입니다. 녹색 공을 뽑을 확률은 7/10입니다. 한 병에 50개 이상의 공을 담을 수 없다면 노란색 공이 몇 개나 들어 있습니까?	50 - (math.lcm (math.lcm ( 8 , 5 ) , 10 ) / 8 +math.lcm (math.lcm ( 8 , 5 ) , 10 ) / 5 * 2 +math.lcm (math.lcm ( 8 , 5 ) , 10 ) / 10 * 7 ) 
2899	윤기와 동생의 나이를 합하면 95이고, 두 사람의 나이 차는 58입니다. 윤기의 동생은 몇 살일까요?	( 95 - 58 ) / 2
4092	달리기 시합에서 태형는 27 등을 했고, 정국는 29 등을 했습니다. 은지는 정국보다 잘했지만 태형보다는 못했습니다. 은지의 등수는 몇 등입니까?	 ( 27 + 29 ) / 2
417	3개의 수 7, 28, 15가 있습니다. 가장 큰 수는 가장 작은 수보다 얼마나 큰 지를 구하시오.	max ( 7 , 28 , 15 ) - min ( 7 , 28 , 15 )
384	토마토, 무, 당근, 오이, 상추, 고추, 양파, 가지 중에서 3가지의 채소을 골라서 사는 경우는 모두 몇 가지입니까?	len ( list ( itertools.combinations ( [ '토마토', '무', '당근', '오이', '상추', '고추', '양파', '가지' ] , 3 ) ) )
1140	두 학생이 사진을 판매합니다. 유정이는 기본요금 125달러에 한 장당 2.75달러입니다. 은지는 기본요금 140달러에 한 장당 1.50달러입니다. 몇 장의 사진을 사야 두 학생에게서 가격이 똑같습니까?	X=140-125)/(2.75-1.5
