id,question,equation,answer,source
759,어떤 소수의 소수점을 왼쪽으로 4 자리 옮기면 원래보다 82.04 만큼 작아집니다. 원래의 소수를 구하시오.,82.04 * 10000 / 9999,82.05,boostaugment
760,어떤 소수의 소수점을 왼쪽으로 3 자리 옮기면 원래보다 15.61 만큼 작아집니다. 원래의 소수를 구하시오.,15.61 * 1000 / 999,15.63,boostaugment
761,어떤 소수의 소수점을 왼쪽으로 4 자리 옮기면 원래보다 9.8 만큼 작아집니다. 원래의 소수를 구하시오.,9.8 * 10000 / 9999,9.8,boostaugment
762,어떤 소수의 소수점을 오른쪽으로 4 자리 옮기면 원래보다 891.91 만큼 커집니다. 원래의 소수를 구하시오.,891.91 * 10000 / 1,8919100,boostaugment
763,어떤 소수의 소수점을 왼쪽으로 4 자리 옮기면 원래보다 73.6 만큼 작아집니다. 원래의 소수를 구하시오.,73.6 * 10000 / 9999,73.61,boostaugment
764,어떤 소수의 소수점을 왼쪽으로 1 자리 옮기면 원래보다 18.23 만큼 작아집니다. 원래의 소수를 구하시오.,18.23 * 10 / 9,20.26,boostaugment
765,어떤 소수의 소수점을 왼쪽으로 4 자리 옮기면 원래보다 19.96 만큼 작아집니다. 원래의 소수를 구하시오.,19.96 * 10000 / 9999,19.96,boostaugment
766,어떤 소수의 소수점을 오른쪽으로 2 자리 옮기면 원래보다 127.8 만큼 커집니다. 원래의 소수를 구하시오.,127.8 * 100 / 1,12780,boostaugment
767,어떤 소수의 소수점을 오른쪽으로 4 자리 옮기면 원래보다 665.22 만큼 커집니다. 원래의 소수를 구하시오.,665.22 * 10000 / 1,6652200,boostaugment
768,어떤 소수의 소수점을 오른쪽으로 1 자리 옮기면 원래보다 311.07 만큼 커집니다. 원래의 소수를 구하시오.,311.07 * 10 / 1,3110.7,boostaugment
769,어떤 소수의 소수점을 오른쪽으로 3 자리 옮기면 원래보다 857.62 만큼 커집니다. 원래의 소수를 구하시오.,857.62 * 1000 / 1,857620,boostaugment
770,어떤 소수의 소수점을 왼쪽으로 4 자리 옮기면 원래보다 5.41 만큼 작아집니다. 원래의 소수를 구하시오.,5.41 * 10000 / 9999,5.41,boostaugment
771,어떤 소수의 소수점을 왼쪽으로 3 자리 옮기면 원래보다 99.33 만큼 작아집니다. 원래의 소수를 구하시오.,99.33 * 1000 / 999,99.43,boostaugment
772,어떤 소수의 소수점을 오른쪽으로 2 자리 옮기면 원래보다 745.57 만큼 커집니다. 원래의 소수를 구하시오.,745.57 * 100 / 1,74557,boostaugment
773,어떤 소수의 소수점을 오른쪽으로 2 자리 옮기면 원래보다 316.57 만큼 커집니다. 원래의 소수를 구하시오.,316.57 * 100 / 1,31657,boostaugment
774,어떤 소수의 소수점을 왼쪽으로 4 자리 옮기면 원래보다 82.41 만큼 작아집니다. 원래의 소수를 구하시오.,82.41 * 10000 / 9999,82.42,boostaugment
775,어떤 소수의 소수점을 오른쪽으로 4 자리 옮기면 원래보다 759.66 만큼 커집니다. 원래의 소수를 구하시오.,759.66 * 10000 / 1,7596600,boostaugment
776,어떤 소수의 소수점을 오른쪽으로 4 자리 옮기면 원래보다 508.05 만큼 커집니다. 원래의 소수를 구하시오.,508.05 * 10000 / 1,5080500,boostaugment
777,어떤 소수의 소수점을 오른쪽으로 2 자리 옮기면 원래보다 586.12 만큼 커집니다. 원래의 소수를 구하시오.,586.12 * 100 / 1,58612,boostaugment
778,어떤 소수의 소수점을 오른쪽으로 2 자리 옮기면 원래보다 866.14 만큼 커집니다. 원래의 소수를 구하시오.,866.14 * 100 / 1,86614,boostaugment
779,어떤 소수의 소수점을 오른쪽으로 1 자리 옮기면 원래보다 224.06 만큼 커집니다. 원래의 소수를 구하시오.,224.06 * 10 / 1,2240.6,boostaugment
780,어떤 소수의 소수점을 오른쪽으로 2 자리 옮기면 원래보다 992.36 만큼 커집니다. 원래의 소수를 구하시오.,992.36 * 100 / 1,99236,boostaugment
781,어떤 소수의 소수점을 오른쪽으로 3 자리 옮기면 원래보다 583.55 만큼 커집니다. 원래의 소수를 구하시오.,583.55 * 1000 / 1,583550,boostaugment
782,어떤 소수의 소수점을 오른쪽으로 4 자리 옮기면 원래보다 276.89 만큼 커집니다. 원래의 소수를 구하시오.,276.89 * 10000 / 1,2768900,boostaugment
783,어떤 소수의 소수점을 왼쪽으로 3 자리 옮기면 원래보다 80.1 만큼 작아집니다. 원래의 소수를 구하시오.,80.1 * 1000 / 999,80.18,boostaugment
784,어떤 소수의 소수점을 오른쪽으로 1 자리 옮기면 원래보다 211.95 만큼 커집니다. 원래의 소수를 구하시오.,211.95 * 10 / 1,2119.5,boostaugment
785,어떤 소수의 소수점을 왼쪽으로 4 자리 옮기면 원래보다 26.86 만큼 작아집니다. 원래의 소수를 구하시오.,26.86 * 10000 / 9999,26.86,boostaugment
786,어떤 소수의 소수점을 왼쪽으로 3 자리 옮기면 원래보다 34.07 만큼 작아집니다. 원래의 소수를 구하시오.,34.07 * 1000 / 999,34.1,boostaugment
787,어떤 소수의 소수점을 왼쪽으로 2 자리 옮기면 원래보다 64.3 만큼 작아집니다. 원래의 소수를 구하시오.,64.3 * 100 / 99,64.95,boostaugment
788,어떤 소수의 소수점을 왼쪽으로 3 자리 옮기면 원래보다 6.63 만큼 작아집니다. 원래의 소수를 구하시오.,6.63 * 1000 / 999,6.64,boostaugment
789,어떤 소수의 소수점을 왼쪽으로 2 자리 옮기면 원래보다 60.87 만큼 작아집니다. 원래의 소수를 구하시오.,60.87 * 100 / 99,61.48,boostaugment
790,어떤 소수의 소수점을 오른쪽으로 3 자리 옮기면 원래보다 442.14 만큼 커집니다. 원래의 소수를 구하시오.,442.14 * 1000 / 1,442140,boostaugment
791,어떤 소수의 소수점을 오른쪽으로 4 자리 옮기면 원래보다 750.67 만큼 커집니다. 원래의 소수를 구하시오.,750.67 * 10000 / 1,7506700,boostaugment
792,어떤 소수의 소수점을 왼쪽으로 2 자리 옮기면 원래보다 24.35 만큼 작아집니다. 원래의 소수를 구하시오.,24.35 * 100 / 99,24.6,boostaugment
793,어떤 소수의 소수점을 왼쪽으로 2 자리 옮기면 원래보다 19.14 만큼 작아집니다. 원래의 소수를 구하시오.,19.14 * 100 / 99,19.33,boostaugment
794,어떤 소수의 소수점을 오른쪽으로 2 자리 옮기면 원래보다 297.15 만큼 커집니다. 원래의 소수를 구하시오.,297.15 * 100 / 1,29715,boostaugment
795,어떤 소수의 소수점을 왼쪽으로 4 자리 옮기면 원래보다 53.58 만큼 작아집니다. 원래의 소수를 구하시오.,53.58 * 10000 / 9999,53.59,boostaugment
796,어떤 소수의 소수점을 오른쪽으로 4 자리 옮기면 원래보다 418.36 만큼 커집니다. 원래의 소수를 구하시오.,418.36 * 10000 / 1,4183600,boostaugment
797,어떤 소수의 소수점을 오른쪽으로 1 자리 옮기면 원래보다 710.74 만큼 커집니다. 원래의 소수를 구하시오.,710.74 * 10 / 1,7107.4,boostaugment
798,어떤 소수의 소수점을 왼쪽으로 4 자리 옮기면 원래보다 34.55 만큼 작아집니다. 원래의 소수를 구하시오.,34.55 * 10000 / 9999,34.55,boostaugment
799,어떤 소수의 소수점을 오른쪽으로 3 자리 옮기면 원래보다 234.0 만큼 커집니다. 원래의 소수를 구하시오.,234.0 * 1000 / 1,234000,boostaugment
800,"서로 다른 두 자연수 A , B가 있습니다. A + B = 17, B = 5 * A 일 때, A 를 구하시오.",17 / ( 1 + 5 ),2.83,boostaugment
801,"서로 다른 두 자연수 A , B가 있습니다. A - B = --17, B = 10 * A 일 때, A 를 구하시오.",1.888888889,1.89,boostaugment
802,"서로 다른 두 자연수 A , B가 있습니다. A + B = 57, B = 9 * A 일 때, A 를 구하시오.",57 / ( 1 + 9 ),5.7,boostaugment
803,"서로 다른 두 자연수 A , B가 있습니다. A - B = --56, B = 3 * A 일 때, A 를 구하시오.",28,28,boostaugment
804,"서로 다른 두 자연수 A , B가 있습니다. A + B = 30, B = 5 * A 일 때, A 를 구하시오.",30 / ( 1 + 5 ),5,boostaugment
805,"서로 다른 두 자연수 A , B가 있습니다. A - B = --41, B = 4 * A 일 때, A 를 구하시오.",13.66666667,13.67,boostaugment
806,"서로 다른 두 자연수 A , B가 있습니다. A - B = --55, B = 3 * A 일 때, A 를 구하시오.",27.5,27.5,boostaugment
807,"서로 다른 두 자연수 A , B가 있습니다. A + B = 22, B = 1 * A 일 때, A 를 구하시오.",22 / ( 1 + 1 ),11,boostaugment
808,"서로 다른 두 자연수 A , B가 있습니다. A - B = --64, B = 2 * A 일 때, A 를 구하시오.",64,64,boostaugment
809,"서로 다른 두 자연수 A , B가 있습니다. A - B = --16, B = 8 * A 일 때, A 를 구하시오.",2.285714286,2.29,boostaugment
810,"서로 다른 두 자연수 A , B가 있습니다. A + B = 85, B = 3 * A 일 때, A 를 구하시오.",85 / ( 1 + 3 ),21.25,boostaugment
811,"서로 다른 두 자연수 A , B가 있습니다. A + B = 60, B = 3 * A 일 때, A 를 구하시오.",60 / ( 1 + 3 ),15,boostaugment
812,"서로 다른 두 자연수 A , B가 있습니다. A + B = 61, B = 1 * A 일 때, A 를 구하시오.",61 / ( 1 + 1 ),30.5,boostaugment
813,"서로 다른 두 자연수 A , B가 있습니다. A - B = --92, B = 3 * A 일 때, A 를 구하시오.",46,46,boostaugment
814,"서로 다른 두 자연수 A , B가 있습니다. A - B = --14, B = 3 * A 일 때, A 를 구하시오.",7,7,boostaugment
815,"서로 다른 두 자연수 A , B가 있습니다. A - B = --38, B = 8 * A 일 때, A 를 구하시오.",5.428571429,5.43,boostaugment
816,"서로 다른 두 자연수 A , B가 있습니다. A + B = 28, B = 10 * A 일 때, A 를 구하시오.",28 / ( 1 + 10 ),2.55,boostaugment
817,"서로 다른 두 자연수 A , B가 있습니다. A - B = --91, B = 2 * A 일 때, A 를 구하시오.",91,91,boostaugment
818,"서로 다른 두 자연수 A , B가 있습니다. A - B = --75, B = 4 * A 일 때, A 를 구하시오.",25,25,boostaugment
819,"서로 다른 두 자연수 A , B가 있습니다. A - B = --54, B = 9 * A 일 때, A 를 구하시오.",6.75,6.75,boostaugment
820,"서로 다른 두 자연수 A , B가 있습니다. A + B = 42, B = 5 * A 일 때, A 를 구하시오.",42 / ( 1 + 5 ),7,boostaugment
821,"서로 다른 두 자연수 A , B가 있습니다. A + B = 16, B = 2 * A 일 때, A 를 구하시오.",16 / ( 1 + 2 ),5.33,boostaugment
822,"서로 다른 두 자연수 A , B가 있습니다. A - B = --36, B = 9 * A 일 때, A 를 구하시오.",4.5,4.5,boostaugment
823,"서로 다른 두 자연수 A , B가 있습니다. A - B = --31, B = 9 * A 일 때, A 를 구하시오.",3.875,3.88,boostaugment
824,"서로 다른 두 자연수 A , B가 있습니다. A - B = --11, B = 8 * A 일 때, A 를 구하시오.",1.571428571,1.57,boostaugment
825,"서로 다른 두 자연수 A , B가 있습니다. A - B = --43, B = 7 * A 일 때, A 를 구하시오.",7.166666667,7.17,boostaugment
826,"서로 다른 두 자연수 A , B가 있습니다. A - B = --49, B = 9 * A 일 때, A 를 구하시오.",6.125,6.12,boostaugment
827,"서로 다른 두 자연수 A , B가 있습니다. A + B = 25, B = 1 * A 일 때, A 를 구하시오.",25 / ( 1 + 1 ),12.5,boostaugment
828,"서로 다른 두 자연수 A , B가 있습니다. A - B = --69, B = 2 * A 일 때, A 를 구하시오.",69,69,boostaugment
829,"서로 다른 두 자연수 A , B가 있습니다. A - B = --32, B = 4 * A 일 때, A 를 구하시오.",10.66666667,10.67,boostaugment
830,"서로 다른 두 자연수 A , B가 있습니다. A + B = 85, B = 4 * A 일 때, A 를 구하시오.",85 / ( 1 + 4 ),17,boostaugment
831,"서로 다른 두 자연수 A , B가 있습니다. A + B = 54, B = 5 * A 일 때, A 를 구하시오.",54 / ( 1 + 5 ),9,boostaugment
832,"서로 다른 두 자연수 A , B가 있습니다. A + B = 81, B = 10 * A 일 때, A 를 구하시오.",81 / ( 1 + 10 ),7.36,boostaugment
833,"서로 다른 두 자연수 A , B가 있습니다. A + B = 59, B = 7 * A 일 때, A 를 구하시오.",59 / ( 1 + 7 ),7.38,boostaugment
834,"서로 다른 두 자연수 A , B가 있습니다. A - B = --71, B = 3 * A 일 때, A 를 구하시오.",35.5,35.5,boostaugment
835,"서로 다른 두 자연수 A , B가 있습니다. A - B = --72, B = 4 * A 일 때, A 를 구하시오.",24,24,boostaugment
836,"서로 다른 두 자연수 A , B가 있습니다. A + B = 42, B = 8 * A 일 때, A 를 구하시오.",42 / ( 1 + 8 ),4.67,boostaugment
837,"서로 다른 두 자연수 A , B가 있습니다. A + B = 65, B = 8 * A 일 때, A 를 구하시오.",65 / ( 1 + 8 ),7.22,boostaugment
838,"서로 다른 두 자연수 A , B가 있습니다. A + B = 91, B = 8 * A 일 때, A 를 구하시오.",91 / ( 1 + 8 ),10.11,boostaugment
839,"서로 다른 두 자연수 A , B가 있습니다. A - B = --36, B = 5 * A 일 때, A 를 구하시오.",9,9,boostaugment
840,"서로 다른 두 자연수 A , B가 있습니다. A - B = --50, B = 7 * A 일 때, A 를 구하시오.",8.333333333,8.33,boostaugment
841,"서로 다른 두 자연수 A , B가 있습니다. A - B = --97, B = 5 * A 일 때, A 를 구하시오.",24.25,24.25,boostaugment
842,"서로 다른 두 자연수 A , B가 있습니다. A + B = 75, B = 8 * A 일 때, A 를 구하시오.",75 / ( 1 + 8 ),8.33,boostaugment
843,"서로 다른 두 자연수 A , B가 있습니다. A + B = 96, B = 9 * A 일 때, A 를 구하시오.",96 / ( 1 + 9 ),9.6,boostaugment
844,"서로 다른 두 자연수 A , B가 있습니다. A + B = 55, B = 9 * A 일 때, A 를 구하시오.",55 / ( 1 + 9 ),5.5,boostaugment
845,"서로 다른 두 자연수 A , B가 있습니다. A - B = --32, B = 8 * A 일 때, A 를 구하시오.",4.571428571,4.57,boostaugment
846,"서로 다른 두 자연수 A , B가 있습니다. A + B = 63, B = 2 * A 일 때, A 를 구하시오.",63 / ( 1 + 2 ),21,boostaugment
847,"서로 다른 두 자연수 A , B가 있습니다. A - B = --18, B = 10 * A 일 때, A 를 구하시오.",2,2,boostaugment
848,"서로 다른 두 자연수 A , B가 있습니다. A + B = 83, B = 6 * A 일 때, A 를 구하시오.",83 / ( 1 + 6 ),11.86,boostaugment
849,"서로 다른 두 자연수 A , B가 있습니다. A + B = 45, B = 9 * A 일 때, A 를 구하시오.",45 / ( 1 + 9 ),4.5,boostaugment
850,"서로 다른 두 자연수 A , B가 있습니다. A - B = --83, B = 6 * A 일 때, A 를 구하시오.",16.6,16.6,boostaugment
851,"서로 다른 두 자연수 A , B가 있습니다. A - B = --32, B = 5 * A 일 때, A 를 구하시오.",8,8,boostaugment
852,"서로 다른 두 자연수 A , B가 있습니다. A + B = 19, B = 10 * A 일 때, A 를 구하시오.",19 / ( 1 + 10 ),1.73,boostaugment
853,"서로 다른 두 자연수 A , B가 있습니다. A - B = --48, B = 2 * A 일 때, A 를 구하시오.",48,48,boostaugment
854,"서로 다른 두 자연수 A , B가 있습니다. A + B = 16, B = 5 * A 일 때, A 를 구하시오.",16 / ( 1 + 5 ),2.67,boostaugment
855,"서로 다른 두 자연수 A , B가 있습니다. A - B = --15, B = 8 * A 일 때, A 를 구하시오.",2.142857143,2.14,boostaugment
856,"서로 다른 두 자연수 A , B가 있습니다. A + B = 45, B = 2 * A 일 때, A 를 구하시오.",45 / ( 1 + 2 ),15,boostaugment
857,"서로 다른 두 자연수 A , B가 있습니다. A - B = --68, B = 3 * A 일 때, A 를 구하시오.",34,34,boostaugment
858,"서로 다른 두 자연수 A , B가 있습니다. A - B = --21, B = 2 * A 일 때, A 를 구하시오.",21,21,boostaugment
859,"서로 다른 두 자연수 A , B가 있습니다. A + B = 86, B = 9 * A 일 때, A 를 구하시오.",86 / ( 1 + 9 ),8.6,boostaugment
860,"서로 다른 두 자연수 A , B가 있습니다. A - B = --71, B = 10 * A 일 때, A 를 구하시오.",7.888888889,7.89,boostaugment
861,"서로 다른 두 자연수 A , B가 있습니다. A - B = --62, B = 2 * A 일 때, A 를 구하시오.",62,62,boostaugment
862,"서로 다른 두 자연수 A , B가 있습니다. A - B = --39, B = 2 * A 일 때, A 를 구하시오.",39,39,boostaugment
863,"서로 다른 두 자연수 A , B가 있습니다. A - B = --95, B = 3 * A 일 때, A 를 구하시오.",47.5,47.5,boostaugment
864,"서로 다른 두 자연수 A , B가 있습니다. A + B = 37, B = 10 * A 일 때, A 를 구하시오.",37 / ( 1 + 10 ),3.36,boostaugment
865,"서로 다른 두 자연수 A , B가 있습니다. A - B = --96, B = 5 * A 일 때, A 를 구하시오.",24,24,boostaugment
866,"서로 다른 두 자연수 A , B가 있습니다. A + B = 71, B = 9 * A 일 때, A 를 구하시오.",71 / ( 1 + 9 ),7.1,boostaugment
867,"서로 다른 두 자연수 A , B가 있습니다. A - B = --22, B = 3 * A 일 때, A 를 구하시오.",11,11,boostaugment
868,"서로 다른 두 자연수 A , B가 있습니다. A - B = --82, B = 10 * A 일 때, A 를 구하시오.",9.111111111,9.11,boostaugment
869,"서로 다른 두 자연수 A , B가 있습니다. A + B = 55, B = 10 * A 일 때, A 를 구하시오.",55 / ( 1 + 10 ),5,boostaugment
870,"서로 다른 두 자연수 A , B가 있습니다. A + B = 47, B = 8 * A 일 때, A 를 구하시오.",47 / ( 1 + 8 ),5.22,boostaugment
871,"서로 다른 두 자연수 A , B가 있습니다. A + B = 52, B = 4 * A 일 때, A 를 구하시오.",52 / ( 1 + 4 ),10.4,boostaugment
872,"서로 다른 두 자연수 A , B가 있습니다. A + B = 36, B = 10 * A 일 때, A 를 구하시오.",36 / ( 1 + 10 ),3.27,boostaugment
873,"서로 다른 두 자연수 A , B가 있습니다. A + B = 61, B = 8 * A 일 때, A 를 구하시오.",61 / ( 1 + 8 ),6.78,boostaugment
874,"서로 다른 두 자연수 A , B가 있습니다. A - B = --74, B = 9 * A 일 때, A 를 구하시오.",9.25,9.25,boostaugment
875,"서로 다른 두 자연수 A , B가 있습니다. A + B = 46, B = 1 * A 일 때, A 를 구하시오.",46 / ( 1 + 1 ),23,boostaugment
876,"서로 다른 두 자연수 A , B가 있습니다. A - B = --76, B = 2 * A 일 때, A 를 구하시오.",76,76,boostaugment
877,"서로 다른 두 자연수 A , B가 있습니다. A - B = --41, B = 3 * A 일 때, A 를 구하시오.",20.5,20.5,boostaugment
878,"서로 다른 두 자연수 A , B가 있습니다. A + B = 85, B = 5 * A 일 때, A 를 구하시오.",85 / ( 1 + 5 ),14.17,boostaugment
879,"서로 다른 두 자연수 A , B가 있습니다. A - B = --35, B = 4 * A 일 때, A 를 구하시오.",11.66666667,11.67,boostaugment
880,"서로 다른 두 자연수 A , B가 있습니다. A - B = --78, B = 9 * A 일 때, A 를 구하시오.",9.75,9.75,boostaugment
881,"서로 다른 두 자연수 A , B가 있습니다. A + B = 49, B = 2 * A 일 때, A 를 구하시오.",49 / ( 1 + 2 ),16.33,boostaugment
882,"서로 다른 두 자연수 A , B가 있습니다. A + B = 70, B = 9 * A 일 때, A 를 구하시오.",70 / ( 1 + 9 ),7,boostaugment
883,"서로 다른 두 자연수 A , B가 있습니다. A - B = --72, B = 5 * A 일 때, A 를 구하시오.",18,18,boostaugment
884,"서로 다른 두 자연수 A , B가 있습니다. A + B = 29, B = 1 * A 일 때, A 를 구하시오.",29 / ( 1 + 1 ),14.5,boostaugment
885,"서로 다른 두 자연수 A , B가 있습니다. A - B = --95, B = 5 * A 일 때, A 를 구하시오.",23.75,23.75,boostaugment
886,"서로 다른 두 자연수 A , B가 있습니다. A + B = 46, B = 9 * A 일 때, A 를 구하시오.",46 / ( 1 + 9 ),4.6,boostaugment
887,"서로 다른 두 자연수 A , B가 있습니다. A + B = 57, B = 2 * A 일 때, A 를 구하시오.",57 / ( 1 + 2 ),19,boostaugment
888,"서로 다른 두 자연수 A , B가 있습니다. A - B = --37, B = 5 * A 일 때, A 를 구하시오.",9.25,9.25,boostaugment
889,"서로 다른 두 자연수 A , B가 있습니다. A - B = --77, B = 7 * A 일 때, A 를 구하시오.",12.83333333,12.83,boostaugment
890,"서로 다른 두 자연수 A , B가 있습니다. A - B = --66, B = 4 * A 일 때, A 를 구하시오.",22,22,boostaugment
891,"서로 다른 두 자연수 A , B가 있습니다. A + B = 87, B = 3 * A 일 때, A 를 구하시오.",87 / ( 1 + 3 ),21.75,boostaugment
892,"서로 다른 두 자연수 A , B가 있습니다. A - B = --60, B = 3 * A 일 때, A 를 구하시오.",30,30,boostaugment
893,"서로 다른 두 자연수 A , B가 있습니다. A + B = 21, B = 3 * A 일 때, A 를 구하시오.",21 / ( 1 + 3 ),5.25,boostaugment
894,"서로 다른 두 자연수 A , B가 있습니다. A - B = --100, B = 2 * A 일 때, A 를 구하시오.",100,100,boostaugment
895,"서로 다른 두 자연수 A , B가 있습니다. A + B = 16, B = 6 * A 일 때, A 를 구하시오.",16 / ( 1 + 6 ),2.29,boostaugment
896,"서로 다른 두 자연수 A , B가 있습니다. A - B = --61, B = 10 * A 일 때, A 를 구하시오.",6.777777778,6.78,boostaugment
897,"서로 다른 두 자연수 A , B가 있습니다. A + B = 55, B = 1 * A 일 때, A 를 구하시오.",55 / ( 1 + 1 ),27.5,boostaugment
898,"서로 다른 두 자연수 A , B가 있습니다. A - B = --75, B = 3 * A 일 때, A 를 구하시오.",37.5,37.5,boostaugment
899,"서로 다른 두 자연수 A , B가 있습니다. A + B = 63, B = 8 * A 일 때, A 를 구하시오.",63 / ( 1 + 8 ),7,boostaugment
900,"서로 다른 두 자연수 A , B가 있습니다. A - B = --39, B = 4 * A 일 때, A 를 구하시오.",13,13,boostaugment
901,"서로 다른 두 자연수 A , B가 있습니다. A - B = --96, B = 7 * A 일 때, A 를 구하시오.",16,16,boostaugment
902,"서로 다른 두 자연수 A , B가 있습니다. A + B = 48, B = 6 * A 일 때, A 를 구하시오.",48 / ( 1 + 6 ),6.86,boostaugment
903,"서로 다른 두 자연수 A , B가 있습니다. A + B = 58, B = 4 * A 일 때, A 를 구하시오.",58 / ( 1 + 4 ),11.6,boostaugment
904,"서로 다른 두 자연수 A , B가 있습니다. A + B = 35, B = 10 * A 일 때, A 를 구하시오.",35 / ( 1 + 10 ),3.18,boostaugment
905,"서로 다른 두 자연수 A , B가 있습니다. A + B = 94, B = 7 * A 일 때, A 를 구하시오.",94 / ( 1 + 7 ),11.75,boostaugment
906,"서로 다른 두 자연수 A , B가 있습니다. A + B = 100, B = 5 * A 일 때, A 를 구하시오.",100 / ( 1 + 5 ),16.67,boostaugment
907,"서로 다른 두 자연수 A , B가 있습니다. A + B = 64, B = 4 * A 일 때, A 를 구하시오.",64 / ( 1 + 4 ),12.8,boostaugment
908,"서로 다른 두 자연수 A , B가 있습니다. A - B = --10, B = 2 * A 일 때, A 를 구하시오.",10,10,boostaugment
909,"서로 다른 두 자연수 A , B가 있습니다. A + B = 70, B = 10 * A 일 때, A 를 구하시오.",70 / ( 1 + 10 ),6.36,boostaugment
910,"서로 다른 두 자연수 A , B가 있습니다. A - B = --30, B = 10 * A 일 때, A 를 구하시오.",3.333333333,3.33,boostaugment
911,"서로 다른 두 자연수 A , B가 있습니다. A - B = --55, B = 6 * A 일 때, A 를 구하시오.",11,11,boostaugment
912,"서로 다른 두 자연수 A , B가 있습니다. A + B = 36, B = 1 * A 일 때, A 를 구하시오.",36 / ( 1 + 1 ),18,boostaugment
913,"서로 다른 두 자연수 A , B가 있습니다. A + B = 100, B = 4 * A 일 때, A 를 구하시오.",100 / ( 1 + 4 ),20,boostaugment
914,"서로 다른 두 자연수 A , B가 있습니다. A - B = --45, B = 4 * A 일 때, A 를 구하시오.",15,15,boostaugment
915,"서로 다른 두 자연수 A , B가 있습니다. A + B = 79, B = 3 * A 일 때, A 를 구하시오.",79 / ( 1 + 3 ),19.75,boostaugment
916,"서로 다른 두 자연수 A , B가 있습니다. A + B = 75, B = 6 * A 일 때, A 를 구하시오.",75 / ( 1 + 6 ),10.71,boostaugment
917,"서로 다른 두 자연수 A , B가 있습니다. A + B = 77, B = 2 * A 일 때, A 를 구하시오.",77 / ( 1 + 2 ),25.67,boostaugment
918,"서로 다른 두 자연수 A , B가 있습니다. A + B = 10, B = 3 * A 일 때, A 를 구하시오.",10 / ( 1 + 3 ),2.5,boostaugment
919,"서로 다른 두 자연수 A , B가 있습니다. A - B = --67, B = 2 * A 일 때, A 를 구하시오.",67,67,boostaugment
920,"서로 다른 두 자연수 A , B가 있습니다. A + B = 35, B = 3 * A 일 때, A 를 구하시오.",35 / ( 1 + 3 ),8.75,boostaugment
921,"서로 다른 두 자연수 A , B가 있습니다. A - B = --47, B = 5 * A 일 때, A 를 구하시오.",11.75,11.75,boostaugment
922,"서로 다른 두 자연수 A , B가 있습니다. A - B = --79, B = 9 * A 일 때, A 를 구하시오.",9.875,9.88,boostaugment
923,"서로 다른 두 자연수 A , B가 있습니다. A - B = --19, B = 10 * A 일 때, A 를 구하시오.",2.111111111,2.11,boostaugment
924,"서로 다른 두 자연수 A , B가 있습니다. A - B = --42, B = 10 * A 일 때, A 를 구하시오.",4.666666667,4.67,boostaugment
925,"서로 다른 두 자연수 A , B가 있습니다. A - B = --52, B = 3 * A 일 때, A 를 구하시오.",26,26,boostaugment
926,"서로 다른 두 자연수 A , B가 있습니다. A - B = --88, B = 2 * A 일 때, A 를 구하시오.",88,88,boostaugment
927,"서로 다른 두 자연수 A , B가 있습니다. A - B = --23, B = 5 * A 일 때, A 를 구하시오.",5.75,5.75,boostaugment
928,"서로 다른 두 자연수 A , B가 있습니다. A - B = --32, B = 2 * A 일 때, A 를 구하시오.",32,32,boostaugment
929,"서로 다른 두 자연수 A , B가 있습니다. A + B = 87, B = 1 * A 일 때, A 를 구하시오.",87 / ( 1 + 1 ),43.5,boostaugment
930,"서로 다른 두 자연수 A , B가 있습니다. A + B = 94, B = 5 * A 일 때, A 를 구하시오.",94 / ( 1 + 5 ),15.67,boostaugment
931,"서로 다른 두 자연수 A , B가 있습니다. A + B = 41, B = 5 * A 일 때, A 를 구하시오.",41 / ( 1 + 5 ),6.83,boostaugment
932,"서로 다른 두 자연수 A , B가 있습니다. A - B = --60, B = 7 * A 일 때, A 를 구하시오.",10,10,boostaugment
933,"서로 다른 두 자연수 A , B가 있습니다. A - B = --63, B = 9 * A 일 때, A 를 구하시오.",7.875,7.88,boostaugment
934,"서로 다른 두 자연수 A , B가 있습니다. A + B = 29, B = 3 * A 일 때, A 를 구하시오.",29 / ( 1 + 3 ),7.25,boostaugment
935,"서로 다른 두 자연수 A , B가 있습니다. A - B = --18, B = 3 * A 일 때, A 를 구하시오.",9,9,boostaugment
936,"서로 다른 두 자연수 A , B가 있습니다. A - B = --20, B = 7 * A 일 때, A 를 구하시오.",3.333333333,3.33,boostaugment
937,"서로 다른 두 자연수 A , B가 있습니다. A + B = 96, B = 2 * A 일 때, A 를 구하시오.",96 / ( 1 + 2 ),32,boostaugment
938,"서로 다른 두 자연수 A , B가 있습니다. A + B = 92, B = 3 * A 일 때, A 를 구하시오.",92 / ( 1 + 3 ),23,boostaugment
939,"서로 다른 두 자연수 A , B가 있습니다. A + B = 40, B = 4 * A 일 때, A 를 구하시오.",40 / ( 1 + 4 ),8,boostaugment
940,"서로 다른 두 자연수 A , B가 있습니다. A + B = 11, B = 2 * A 일 때, A 를 구하시오.",11 / ( 1 + 2 ),3.67,boostaugment
941,"서로 다른 두 자연수 A , B가 있습니다. A - B = --73, B = 2 * A 일 때, A 를 구하시오.",73,73,boostaugment
942,"서로 다른 두 자연수 A , B가 있습니다. A - B = --65, B = 5 * A 일 때, A 를 구하시오.",16.25,16.25,boostaugment
